,sensor14,sensor3,sensor9,sensor7,sensor11,sensor21,sensor15,sensor12,sensor4,RUL
124,8126.33,1585.47,9046.16,552.44,47.63,23.3039,8.4079,521.57,1406.42,67
125,8130.94,1582.64,9049.11,553.72,47.49,23.2289,8.4378,521.35,1418.5,66
126,8133.0,1586.9,9047.9,553.81,47.63,23.2772,8.4626,521.34,1399.49,65
127,8132.08,1593.87,9056.59,552.74,47.62,23.2641,8.4413,521.96,1407.06,64
128,8127.33,1591.33,9046.08,552.42,47.61,23.2656,8.4681,522.02,1408.42,63
129,8125.29,1585.9,9042.97,552.66,47.46,23.3461,8.3938,521.49,1412.25,62
130,8126.38,1585.78,9045.1,553.7,47.7,23.3435,8.4328,521.45,1413.25,61
131,8128.92,1596.06,9044.04,553.16,47.56,23.3186,8.4227,521.64,1405.76,60
132,8130.93,1592.64,9050.95,553.82,47.57,23.2521,8.4604,521.23,1410.11,59
133,8131.3,1583.62,9046.16,553.2,47.75,23.2833,8.4293,521.52,1402.67,58
134,8129.34,1585.55,9050.65,553.09,47.34,23.2744,8.4242,520.99,1406.83,57
135,8130.43,1584.72,9040.89,554.18,47.43,23.1699,8.4469,521.54,1404.39,56
136,8128.81,1594.69,9040.55,553.39,47.89,23.2593,8.449,521.63,1405.15,55
137,8129.67,1589.82,9049.64,552.91,47.4,23.3664,8.4208,521.57,1413.34,54
138,8124.97,1592.28,9044.81,553.25,47.67,23.3422,8.4621,521.03,1412.6,53
139,8130.27,1590.89,9055.85,552.15,47.51,23.3704,8.4397,521.27,1408.36,52
140,8120.93,1590.02,9050.86,553.45,47.49,23.2382,8.4641,521.06,1415.25,51
141,8124.87,1595.29,9046.61,553.11,47.59,23.2816,8.4291,520.44,1413.42,50
142,8126.81,1593.1,9050.63,553.62,47.52,23.2305,8.4419,520.98,1404.21,49
143,8125.47,1591.89,9049.33,553.77,47.57,23.2249,8.4601,521.11,1405.76,48
144,8130.91,1594.92,9046.92,553.03,47.54,23.149,8.4644,521.13,1409.63,47
145,8129.19,1586.75,9045.99,552.6,47.63,23.3233,8.4312,521.13,1408.82,46
146,8126.13,1594.85,9041.24,553.09,47.8,23.2684,8.4428,520.92,1409.96,45
147,8124.48,1590.03,9040.93,552.84,47.49,23.2498,8.4276,521.08,1411.89,44
148,8124.34,1592.78,9057.24,552.54,47.83,23.2565,8.4731,521.13,1410.7,43
149,8122.99,1589.01,9044.76,553.57,47.6,23.2082,8.4726,520.5,1409.22,42
150,8127.21,1592.39,9048.12,552.41,47.58,23.2277,8.4612,520.94,1411.94,41
151,8119.0,1598.6,9043.9,552.62,47.72,23.2369,8.4572,520.39,1420.83,40
152,8124.14,1589.17,9049.43,552.68,47.74,23.1719,8.4435,520.69,1414.56,39
153,8129.24,1597.03,9049.08,552.57,47.73,23.2366,8.4794,520.72,1416.07,38
154,8120.41,1590.4,9049.56,552.89,47.61,23.2749,8.4729,521.23,1414.89,37
155,8128.48,1585.61,9044.21,553.24,47.58,23.2791,8.4432,520.75,1421.23,36
156,8125.07,1598.04,9053.12,552.32,47.72,23.2354,8.4328,520.94,1412.47,35
157,8126.33,1596.82,9049.22,553.19,47.68,23.2894,8.4368,520.88,1410.09,34
158,8127.61,1589.54,9048.06,552.18,47.76,23.253,8.4403,520.65,1420.37,33
159,8122.68,1590.65,9045.42,551.87,47.84,23.2817,8.4433,520.47,1418.08,32
160,8126.97,1594.2,9048.06,552.8,47.77,23.2962,8.4405,520.47,1417.31,31
161,8123.77,1592.22,9044.45,552.68,47.79,23.1538,8.5015,520.44,1423.48,30
162,8124.06,1600.54,9049.24,552.41,47.89,23.1419,8.5129,520.3,1421.09,29
163,8124.63,1598.96,9048.92,551.9,47.7,23.1761,8.4803,520.63,1416.76,28
164,8126.53,1597.03,9039.09,552.79,47.89,23.2129,8.4922,520.69,1408.09,27
165,8119.14,1596.72,9043.11,552.13,47.86,23.145,8.4663,520.02,1422.37,26
166,8122.41,1593.83,9042.05,552.57,47.85,23.3011,8.4632,520.49,1414.72,25
167,8124.44,1591.19,9036.35,552.09,47.84,23.277,8.4925,520.78,1415.7,24
168,8125.3,1590.16,9055.18,552.71,47.88,23.187,8.4767,520.44,1418.05,23
169,8121.76,1592.71,9044.03,552.02,47.86,23.1615,8.49,520.23,1417.41,22
170,8124.87,1592.06,9042.12,552.71,48.03,23.2444,8.4922,519.85,1414.99,21
171,8120.08,1591.71,9039.1,551.69,48.07,23.1585,8.4595,520.54,1413.73,20
172,8121.64,1590.69,9048.82,552.13,47.9,23.1789,8.5091,520.11,1425.27,19
173,8119.17,1599.81,9041.25,552.32,48.0,23.0357,8.4476,520.22,1422.58,18
174,8125.76,1603.29,9042.66,551.64,47.86,23.1573,8.489,520.38,1422.52,17
175,8123.8,1592.27,9045.74,551.91,47.84,23.2491,8.4853,519.8,1422.73,16
176,8120.11,1602.02,9046.2,551.93,48.03,23.1673,8.4779,520.24,1423.99,15
177,8116.56,1605.33,9046.17,552.18,48.0,23.177,8.477,520.2,1424.65,14
178,8116.84,1592.56,9044.23,551.57,48.02,23.1888,8.4947,520.38,1429.45,13
179,8122.57,1599.87,9039.33,552.91,47.85,23.007,8.4737,519.84,1417.14,12
180,8114.79,1596.71,9038.29,551.83,48.1,23.1652,8.472,520.43,1420.64,11
181,8119.67,1602.08,9041.23,551.9,47.98,23.1787,8.5158,520.46,1426.62,10
182,8117.8,1597.23,9040.94,551.38,48.03,23.1302,8.5041,520.05,1419.03,9
183,8115.61,1605.44,9047.91,551.0,48.07,23.0146,8.5133,519.77,1432.52,8
184,8113.69,1603.46,9043.71,551.64,48.15,23.07,8.4984,519.82,1424.4,7
185,8123.45,1595.16,9051.37,552.57,48.12,23.0564,8.5227,520.08,1426.3,6
186,8115.67,1592.1,9037.71,551.08,48.23,23.0822,8.5218,519.53,1427.27,5
187,8117.69,1602.38,9037.91,551.94,48.0,22.9588,8.5207,519.79,1422.78,4
188,8117.51,1596.17,9044.55,550.7,48.08,23.1127,8.5183,519.58,1428.01,3
189,8112.58,1599.22,9040.58,551.29,48.33,23.0675,8.5223,520.04,1425.95,2
190,8114.61,1602.36,9042.76,550.92,48.15,23.1295,8.5174,519.57,1425.77,1
191,8110.93,1601.41,9033.22,551.25,48.25,22.9649,8.5113,520.08,1427.2,0
192,8137.72,1583.84,9054.72,554.53,46.93,23.4585,8.3905,522.33,1391.28,286
193,8131.09,1587.05,9051.31,554.77,47.24,23.4085,8.4167,522.7,1393.13,285
194,8140.58,1588.32,9054.24,555.14,47.22,23.425,8.3802,522.58,1398.96,284
195,8140.44,1584.15,9058.01,554.25,47.1,23.5027,8.4018,522.49,1396.08,283
196,8136.67,1579.03,9058.15,555.12,47.25,23.4234,8.3867,522.27,1402.52,282
197,8133.65,1577.5,9054.07,554.98,47.05,23.427,8.38,522.8,1396.76,281
198,8136.33,1587.49,9052.67,554.84,47.1,23.4718,8.3941,522.14,1400.65,280
199,8137.92,1590.41,9055.82,554.65,47.2,23.4381,8.3861,522.77,1395.39,279
200,8145.29,1581.99,9051.67,554.69,47.14,23.4875,8.3868,522.4,1395.01,278
201,8138.64,1586.37,9058.88,554.63,47.21,23.6005,8.3982,521.99,1394.86,277
202,8135.85,1589.21,9053.21,554.7,47.21,23.3888,8.4188,522.2,1401.29,276
203,8136.49,1579.99,9047.89,554.57,47.13,23.4201,8.3925,521.94,1401.9,275
204,8140.61,1586.77,9053.63,554.69,47.03,23.4317,8.3742,522.33,1401.53,274
205,8140.09,1584.04,9047.3,554.47,47.12,23.4074,8.3887,523.07,1395.46,273
206,8137.72,1579.84,9049.82,554.17,47.17,23.4311,8.3704,521.96,1402.11,272
207,8133.45,1581.99,9051.79,554.53,47.24,23.4462,8.3805,522.49,1393.46,271
208,8134.78,1583.58,9052.05,553.62,47.13,23.5245,8.3714,522.71,1390.27,270
209,8133.2,1588.43,9051.35,554.83,47.22,23.4203,8.4053,522.92,1400.25,269
210,8137.51,1576.84,9055.07,555.25,47.14,23.4102,8.4035,522.38,1401.77,268
211,8139.83,1582.94,9050.27,554.64,47.14,23.3821,8.3698,522.54,1394.38,267
212,8136.57,1579.51,9055.29,554.72,47.04,23.5014,8.3954,522.58,1392.28,266
213,8140.79,1580.18,9053.31,554.35,47.17,23.4241,8.3792,521.73,1397.67,265
214,8131.57,1580.89,9051.43,554.69,47.21,23.2867,8.3937,522.26,1387.5,264
215,8136.16,1580.97,9052.35,553.5,47.15,23.3981,8.3866,522.25,1398.67,263
216,8136.97,1585.38,9055.28,554.14,47.19,23.4883,8.3959,522.31,1396.62,262
217,8137.27,1575.38,9050.81,554.03,47.12,23.4691,8.3472,522.8,1392.3,261
218,8137.73,1585.44,9058.01,555.16,47.03,23.4275,8.4077,522.11,1402.31,260
219,8136.55,1581.6,9053.78,554.77,46.99,23.4395,8.3734,522.68,1397.45,259
220,8140.77,1583.78,9055.84,554.75,47.11,23.4249,8.37,522.26,1398.08,258
221,8136.63,1590.32,9050.8,554.62,47.2,23.3985,8.419,522.43,1395.07,257
222,8131.62,1579.86,9049.93,554.8,47.05,23.4154,8.4393,522.17,1390.94,256
223,8138.76,1584.52,9045.87,554.56,47.12,23.4006,8.3783,522.54,1391.11,255
224,8133.62,1585.17,9051.18,553.62,47.09,23.4434,8.4102,522.26,1396.15,254
225,8139.8,1584.08,9059.29,555.09,47.22,23.4571,8.4188,522.64,1394.24,253
226,8142.08,1575.73,9057.34,554.73,47.25,23.5283,8.4164,522.0,1392.55,252
227,8142.06,1581.56,9055.79,554.59,47.21,23.3881,8.3709,522.32,1397.13,251
228,8136.08,1585.63,9058.16,555.01,47.16,23.4047,8.3609,522.69,1396.29,250
229,8134.91,1585.15,9055.35,554.21,47.22,23.4191,8.4069,522.13,1397.75,249
230,8138.78,1585.69,9061.16,554.05,47.2,23.4489,8.3755,522.79,1391.49,248
231,8137.16,1582.69,9046.96,554.07,47.22,23.4402,8.401,522.3,1398.38,247
232,8140.84,1578.97,9053.6,554.34,47.26,23.3071,8.3856,522.22,1398.74,246
233,8135.3,1579.21,9046.36,553.98,47.14,23.4631,8.3449,522.87,1392.13,245
234,8135.14,1580.59,9053.65,554.14,47.08,23.4966,8.4144,522.9,1391.6,244
235,8137.23,1584.33,9057.05,554.16,47.22,23.4546,8.4087,522.77,1398.69,243
236,8141.93,1586.41,9060.38,554.2,47.17,23.4284,8.3847,522.27,1397.6,242
237,8140.52,1575.45,9053.33,554.54,47.19,23.5041,8.3994,522.08,1392.6,241
238,8136.97,1583.85,9046.52,554.96,47.03,23.3447,8.3756,522.73,1396.46,240
239,8134.97,1586.71,9057.73,554.67,47.18,23.4336,8.3821,522.41,1397.95,239
240,8135.93,1583.86,9049.11,554.04,47.18,23.4871,8.4024,522.83,1396.5,238
241,8138.46,1577.86,9051.65,554.73,47.16,23.353,8.4042,522.16,1399.78,237
242,8137.89,1585.34,9055.92,555.02,47.03,23.3239,8.3731,522.34,1393.06,236
243,8134.22,1588.48,9056.25,554.76,47.09,23.3668,8.4064,522.58,1401.66,235
244,8137.95,1584.9,9051.78,554.33,46.98,23.5307,8.411,522.73,1397.09,234
245,8141.65,1583.46,9046.85,554.42,47.1,23.3626,8.4057,522.48,1405.33,233
246,8134.65,1585.59,9044.62,554.54,47.18,23.3779,8.4077,522.7,1387.16,232
247,8139.72,1587.04,9052.27,554.72,47.03,23.3796,8.393,522.1,1388.97,231
248,8136.88,1584.13,9052.86,553.87,47.17,23.4544,8.4008,521.98,1389.62,230
249,8134.92,1582.93,9047.75,554.46,47.3,23.3861,8.3731,522.24,1389.91,229
250,8136.9,1584.24,9053.2,554.6,47.17,23.4347,8.4036,522.78,1397.95,228
251,8141.27,1584.57,9057.57,554.06,47.12,23.3928,8.4003,521.93,1396.84,227
252,8135.88,1585.45,9057.02,555.08,47.09,23.2745,8.4006,522.69,1399.71,226
253,8135.86,1577.87,9048.8,554.52,47.27,23.4442,8.4193,521.78,1401.66,225
254,8134.72,1575.83,9061.57,554.63,47.17,23.325,8.3867,522.15,1395.05,224
255,8136.88,1581.65,9048.35,554.93,47.11,23.398,8.4144,522.18,1401.46,223
256,8135.72,1582.59,9057.07,554.28,47.34,23.3455,8.4128,522.52,1395.4,222
257,8138.89,1584.6,9054.62,554.11,47.17,23.426,8.4121,522.65,1394.01,221
258,8138.81,1587.63,9048.97,554.99,46.96,23.3933,8.3761,522.58,1395.44,220
259,8137.75,1577.16,9054.61,554.07,47.16,23.4076,8.4141,522.2,1399.27,219
260,8136.47,1586.47,9049.25,554.35,47.33,23.3783,8.4116,522.21,1399.73,218
261,8134.06,1593.24,9049.78,554.47,47.26,23.3894,8.4118,522.17,1397.3,217
262,8131.12,1586.68,9053.44,555.01,47.24,23.317,8.3993,522.02,1403.09,216
263,8136.69,1583.11,9057.61,554.54,47.19,23.4393,8.4012,522.4,1393.85,215
264,8142.06,1586.57,9057.35,554.41,47.15,23.4567,8.3896,522.95,1400.98,214
265,8138.8,1584.04,9060.56,555.36,47.25,23.4015,8.3932,521.97,1396.13,213
266,8133.37,1578.27,9053.52,555.45,47.09,23.421,8.3944,522.54,1390.64,212
267,8136.29,1586.91,9052.13,554.05,46.99,23.4591,8.3629,522.08,1399.66,211
268,8138.64,1588.54,9052.12,554.06,46.95,23.4969,8.4399,522.36,1395.38,210
269,8135.85,1587.2,9058.82,554.83,47.12,23.5367,8.4018,522.57,1394.24,209
270,8135.02,1585.59,9057.44,554.19,47.23,23.2873,8.3931,522.26,1398.51,208
271,8138.12,1588.33,9056.41,554.94,47.2,23.4198,8.3889,523.26,1394.0,207
272,8135.81,1578.31,9053.0,555.25,47.25,23.4685,8.4162,522.62,1390.12,206
273,8135.13,1587.24,9055.28,554.17,47.19,23.4491,8.3428,522.3,1402.78,205
274,8135.08,1585.18,9047.88,554.18,47.13,23.4056,8.3997,523.13,1398.81,204
275,8138.11,1586.46,9050.39,554.86,47.29,23.4055,8.394,522.75,1402.26,203
276,8137.66,1588.31,9049.41,554.5,47.19,23.4072,8.3954,522.63,1398.33,202
277,8138.02,1579.31,9050.83,554.51,47.27,23.4982,8.3958,522.26,1399.12,201
278,8140.14,1582.64,9056.36,554.77,47.26,23.2916,8.3952,522.59,1399.51,200
279,8139.82,1587.88,9056.67,554.71,47.04,23.4173,8.3851,522.62,1398.17,199
280,8135.49,1584.62,9054.7,554.18,47.18,23.4148,8.4143,522.42,1394.07,198
281,8138.51,1580.77,9053.58,554.1,47.21,23.4878,8.3922,522.04,1405.34,197
282,8134.67,1583.57,9045.94,553.79,47.15,23.3972,8.4026,522.48,1399.47,196
283,8137.35,1584.87,9050.92,554.28,47.13,23.2772,8.3919,522.45,1399.17,195
284,8137.98,1591.68,9049.14,553.92,47.24,23.3075,8.4005,522.52,1392.48,194
285,8141.01,1585.62,9054.99,554.53,47.38,23.4165,8.4075,522.74,1395.39,193
286,8131.72,1579.26,9048.27,553.99,47.06,23.4318,8.3773,522.37,1402.79,192
287,8137.78,1576.94,9059.0,554.4,47.07,23.3285,8.3698,521.66,1399.59,191
288,8135.99,1586.12,9056.26,554.42,47.19,23.3578,8.4202,522.22,1400.5,190
289,8140.08,1587.84,9056.94,554.57,47.21,23.5011,8.4115,522.92,1401.08,189
290,8138.18,1585.48,9054.46,554.43,47.13,23.3414,8.4179,522.5,1400.97,188
291,8135.5,1586.01,9056.18,554.48,47.21,23.331,8.4107,522.01,1402.72,187
292,8140.13,1582.66,9051.47,555.07,47.37,23.4257,8.3835,522.4,1397.81,186
293,8136.45,1590.24,9052.38,554.44,47.19,23.3453,8.4052,522.05,1407.05,185
294,8144.59,1587.75,9050.8,554.44,47.23,23.4403,8.4148,522.36,1392.16,184
295,8142.03,1582.04,9055.21,554.91,47.26,23.4053,8.4037,522.18,1397.31,183
296,8140.65,1585.65,9058.39,554.81,47.32,23.3467,8.4056,522.11,1397.45,182
297,8133.6,1584.61,9061.94,553.96,47.32,23.4154,8.3727,522.11,1402.62,181
298,8136.62,1581.7,9058.97,554.21,47.16,23.5191,8.3723,522.34,1402.93,180
299,8136.72,1578.45,9056.31,554.29,47.23,23.4441,8.3978,522.27,1396.25,179
300,8145.36,1590.41,9053.21,553.72,47.28,23.3497,8.4061,522.0,1392.9,178
301,8140.04,1583.3,9053.81,554.5,47.31,23.3997,8.3723,522.27,1398.47,177
302,8137.95,1576.85,9062.68,554.42,47.18,23.4703,8.4437,522.32,1393.76,176
